id,category,file_path,original_text,processed_text,sentiment,publish_time,likes,comments,shares
0,talk.politics.guns,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\talk.politics.guns\54952,"In <1993Apr16.202441.16032@CSD-NewsHost.Stanford.EDU> andy@SAIL.Stanford.EDU (Andy Freeman) writes: Well, let me see. UZI, no. M-11/9, no. M-16/AR-15, maybe. I remember there being a selector swtich on the AR-15. If I remember correctly (please correct me if I'm wrong) the switch would set to an ""off"" position or an ""on"" position because the gun (AR-15) is semi-automatic. Wouldn't the M-16 have a position for semi-auto fire and full-auto fire (or maybe 3 round bursts)? If this is correct wouldn'",apr csd newshost stanford edu andy sail stanford edu andy freeman writes well let me see uzi ar maybe remember there selector swtich ar if remember correctly please correct me if wrong switch set off position position because gun ar semi automatic wouldn position semi auto fire full auto fire maybe round bursts if correct wouldn easy distinguish each gun alone course if ar modified full auto fire wouldn think easy talking about distinguishing between unmodified ar how about other guns also selector switch switch between semi auto fully auto fire actually pretty hard kids neighborhood figure out as richard petty lived neighborhood left stock car driveway well what about what said above if correct guess tv acceptable if good enough picture picture lower receiver ar jason kratz didn take andy offer back down private,负面,2003-03-18 20:24:45,319,139,30
1,comp.graphics,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\comp.graphics\38236,"Dear Reader, I'am searching for an implementation of a polygon reduction algorithm for marching cubes surfaces. I think the best one is the reduction algorithm from Schroeder et al., SIGGRAPH '92. So, is there any implementation of this algorithm, it would be very nice if you could leave it to me. Also I'am looking for a fast !!! connectivity test for marching cubes surfaces. Any help or hints will be very useful. Thanks a lot ,,, (o o) ___________________________________________oOO__(-)__OOo___",dear reader am searching implementation polygon reduction algorithm marching cubes surfaces think best one reduction algorithm from schroeder et al siggraph there implementation algorithm very nice if leave me also am looking fast connectivity test marching cubes surfaces help hints very useful thanks lot ooo ooo erwin keeve adress peter welter platz cologne germany dept computergraphics phone computeranimation fax academy media arts cologne email keeve khm uni koeln de,正面,2003-03-18 20:23:48,174,71,40
2,talk.politics.misc,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\talk.politics.misc\178887,"In article <1993Apr17.093826.5227@nwnexus.WA.COM>, elf@halcyon.com (Elf Sternberg) writes: # #Actually, I bet you more gay/bi men are as not as promiscuous as gay men, # #because more of them could have the ""option"" of living a straight life, and # #with social pressures, probably would at least try. # # Geez, where have you been, Ryan? I proposed this theory *months* # ago. Let's take it one step further, even. If, as the surveys show, # up to 33% of all men have *had* a homosexual encounter, t",article apr nwnexus wa com elf halcyon com elf sternberg writes actually bet more gay bi men as not as promiscuous as gay men because more option living straight life social pressures probably least try geez where ryan proposed theory months ago let take one step further even if as surveys show up all men homosexual encounter then there cite survey other than obviously bogus kinsey studies even larger percentage people who homosexual erotic fantasies if less than population gay what can say about people who don identify as gay demonstrated gay potential obviously large chunk people chose more accurately forced choose force religion social sanction put feelings aside heterosexual obviously cramer kaldis fall into category can speak kaldis force religion social sanction played part sexual preferences neither much influence me as teenager elf halcyon com elf sternberg clayton cramer uunet pyramid optilink cramer opinions all mine relations between people mutual consent not all,中性,2003-03-18 20:24:54,329,71,86
3,rec.sport.hockey,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\rec.sport.hockey\54125,In article <19930423112743.cvincent@poolman.ucs.mun.ca> cvincent@morgan.ucs.mun.ca (Carl Vincent) writes:,article cvincent poolman ucs mun ca cvincent morgan ucs mun ca carl vincent writes,中性,2003-03-18 20:24:25,134,95,19
4,misc.forsale,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\misc.forsale\74767,"adn6285@ritvax.isc.rit.edu writes: According to reports, if you don't have DOS yet, and don't have any utilities (QEMM, Stacker, PCTools, Norton, ...) then DOS6 may be worth it. For people who have DOS5, and some sort of utility, DOS6 doesn't offer much. You'd never know it from the usual hype that marketing is able to create, however. :-) -- Tom Hatton hatton@cgl.ucsf.edu (415)-476-8693",adn ritvax isc rit edu writes according reports if don dos yet don utilities qemm stacker pctools norton ... then dos worth people who dos sort utility dos doesn offer much never know from usual hype marketing able create however tom hatton hatton cgl ucsf edu,中性,2003-03-18 20:24:07,398,153,78
5,soc.religion.christian,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\soc.religion.christian\21421,"The following is a juxtaposition of part of an ancient text known as ""de Sacramentis"", usually attributed to St. Ambrose of Milan, and the canon of the traditional Catholic Mass of the Roman rite. The conclusion from this comparison is that the central part of the traditional Roman canon was already fairly well in place by sometime in the late 4th century. Taken from ""The Mass of the Western Rites"", by the Right Reverend Dom Fernand Cabrol, Abbot of Farnborough, 1934, without permission. Excerpt",following juxtaposition part ancient text known as de sacramentis usually attributed st ambrose milan canon traditional catholic mass roman rite conclusion from comparison central part traditional roman canon already fairly well place sometime late th century taken from mass western rites right reverend dom fernand cabrol abbot farnborough without permission excerpted from chapter vi mass rome from fifth seventh centuries paragraph end from book not me sorry about long lines joe buehler text de sacramentis roman canon roman canon about ad ad english translation te igitur ... omitted here memento domine ... communicantes ... hanc igitur oblationem ... fac nobis inquit sacerdos quam oblationem tu deus thou god deign hanc oblationem ascriptam omnibus quaesumus bless what offer ratam rationabilem benedictam adscriptam make approved acceptabilem quod figura ratam rationabilem effective right est corporis et sanguinis acceptabilemque facere wholly pleasing every jesu christi digneris ut nobis corpus et way become sanguis fiat dilectissimi good body filii tui domini nostri jesu blood thy dearly christi beloved son jesus christ lord qui pridie quam pateretur qui pridie quam pateretur who,正面,2003-03-18 20:24:43,382,115,16
6,comp.sys.ibm.pc.hardware,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\comp.sys.ibm.pc.hardware\60523,"I thought I read that FastMicro was having some financial difficulties, is this true? I can't seem to find the posting about it and was wondering if someone can confirm this. Thanks, Eric Sebastian",thought read fastmicro financial difficulties true can seem find posting about wondering if someone can confirm thanks eric sebastian,中性,2003-03-18 20:23:57,214,4,40
7,misc.forsale,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\misc.forsale\76595,"For sale by owners who were also the builders Contemporary Cape House located in Sandwich, Ma Three bedrooms, two baths, one car oversized garage large eat-in kitchen Cathedral ceiling from to back living room deck off of kitchen and dining room 20,000 sq ft 1,696 sq ft living space full walk-out basement $139,900, creative financing a possibility contact Peg Moore @ (508) 771-0320 or Ron Nordstrom @ (508) 394-9652",sale owners who also builders contemporary cape house located sandwich ma three bedrooms two baths one car oversized garage large eat kitchen cathedral ceiling from back living room deck off kitchen dining room sq ft sq ft living space full walk out basement creative financing possibility contact peg moore ron nordstrom,中性,2003-03-18 20:24:10,15,150,77
8,alt.atheism,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\alt.atheism\53312,"In article <1ql0d3$5vo@dr-pepper.East.Sun.COM> geoff@East.Sun.COM writes: Didn't you hear? His address has changed. He can be reached at the following address: dkoresh@branch.davidian.compound.waco.tx.us I think he was last seen posting to alt.messianic. Jim -- If God is dead and the actor plays his part | -- Sting, His words of fear will find their way to a place in your heart | History Without the voice of reason every faith is its own curse | Will Teach Us Without freedom from the past things",article ql vo dr pepper east sun com geoff east sun com writes didn hear address changed can reached following address dkoresh branch davidian compound waco tx think last seen posting alt messianic jim if god dead actor plays part sting words fear find way place heart history without voice reason every faith own curse teach without freedom from past things can only get worse nothing,中性,2003-03-18 20:23:46,480,16,62
9,alt.atheism,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\alt.atheism\51179,"In article <1pieg7INNs09@gap.caltech.edu>, keith@cco.caltech.edu (Keith Allan Schneider) writes: |> livesey@solntze.wpd.sgi.com (Jon Livesey) writes: |> |> >Now along comes Mr Keith Schneider and says ""Here is an ""objective |> >moral system"". And then I start to ask him about the definitions |> >that this ""objective"" system depends on, and, predictably, the whole |> >thing falls apart. |> |> It only falls apart if you attempt to apply it. This doesn't mean that |> an objective system can't exist",article pieg inns gap caltech edu keith cco caltech edu keith allan schneider writes livesey solntze wpd sgi com jon livesey writes now along comes mr keith schneider says here objective moral system then start ask him about definitions objective system depends predictably whole thing falls apart only falls apart if attempt apply doesn mean objective system can exist just means one cannot implemented not fact can exist bothers me fact don seem able define if wanted hear about indefinable things principle exist as long as don think about too carefully ask religious person now couldn jon,中性,2003-03-18 20:23:45,177,115,63
