id,category,file_path,original_text,processed_text,sentiment,publish_time,likes,comments,shares
619,comp.sys.mac.hardware,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\comp.sys.mac.hardware\51818,"I'm looking for a Cache card for my IIsi. I can spend $250 Max for it, what i need is 64 kb cache with a fpu socket and a dual slot adapter. Or at least a passe_through connector so i can keep my graphic card. I need your advice about the best card i can buy. How much performance increase i should expect, does the performance increase between the 32 and 64 kb Cache worths the price difference ?. And what's the best price i can get for such a card (i really need to spare each possible $). I have ",looking cache card iisi can spend max what need kb cache fpu socket dual slot adapter least passe through connector can keep graphic card need advice about best card can buy how much performance increase expect performance increase between kb cache worths price difference what best price can get such card really need spare each possible ethernet card lc fpu don think work iisi fpu socketed think can take fpu out card put empty fpu socket work mhz if not how much pay extra fpu sham ya tha seif lam yaghib ibaa oueichek oueichek imag imag fr ya jamal al majd fi kutub lab de genie informatique lgi kablak tareekh fi thulmaten imag inpg baadak staula ala sh shuhub av felix viallet grenoble,正面,2025-03-23 04:34:00,638,112,93
495,talk.politics.misc,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\talk.politics.misc\178851,"SPEAKING OF VAT: Did anyone see CNN's report yesterday (4/15)? It was quite hillarious (no pun intended). They ran down how a percent tax was added at each stage of manufacturing, graphicaly depicting a stack of quarters being added at each wholesale stage. When they got to the final stage (the actual retail sale) the small stack of quarters added to the large stack already there was said to be ""the amount paid by consumers."" In other words, they completed ignored the fact that at each stage the",speaking vat anyone see cnn report yesterday quite hillarious pun intended ran down how percent tax added each stage manufacturing graphicaly depicting stack quarters added each wholesale stage when got final stage actual retail sale small stack quarters added large stack already there said amount paid consumers other words completed ignored fact each stage tax course passed next buyer retail consumer paying full load not journalists re lap dogs roger shouse university chicago email shou midway uchicago edu,中性,2025-03-13 12:32:00,411,36,61
724,comp.os.ms-windows.misc,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\comp.os.ms-windows.misc\10165,Hello Cliff Many people on the internet (like us) have to pay for every byte of data passed through subscribed news groups. Bitmaps are large. Bitmaps cost us a lot of money. There are special news-groups for bitmaps because of this. We don't subscribe to them. Put you bitmaps in the right place. Read one of the FAQ guides in the newuser groups and it will tell you all about bitmaps and the thousands of establishments like mine that you have just cost money. Some of them have very limited budget,hello cliff many people internet like pay every byte data passed through subscribed news groups bitmaps large bitmaps cost lot money there special news groups bitmaps because don subscribe put bitmaps right place read one faq guides newuser groups tell all about bitmaps thousands establishments like mine just cost money very limited budgets go away flame distribution usa didn work kenb ken blackler kb jet uk fusion jet joint undertaking abingdon energy oxfordshire england ox ea far future disclaimer please note above personal view not construed as official comment from jet project,正面,2025-03-07 09:37:00,440,50,13
483,talk.politics.guns,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\talk.politics.guns\53343,"arc@cco.caltech.edu (Aaron Ray Clements) writes: Can you say, ""I get more background radiation from living in Denver or having an office in a limestone building than I do standing next to a power reactor at full power or standing next to a nuclear warhead that is armed?"" Look up ""shielding"" in your dictionary. You don't need six feet of lead to make decent shielding; your dead skin cell layer does an excellent job on alpha particles, and neutrons are slowed by mere *water*. What do you think 75%",arc cco caltech edu aaron ray clements writes can say get more background radiation from living denver office limestone building than standing next power reactor full power standing next nuclear warhead armed look up shielding dictionary don need six feet lead make decent shielding dead skin cell layer excellent job alpha particles neutrons slowed mere water what think if militia as job overthrow illegal government indeed useful weapons militia won too useful certain areas leveling pentagon good thing said overthrow likely one man carrying backpack stand better chance than one thousand armed colt peacemakers don let self defense become only reason can gun sole means justification myself won overthrow government until ceases legal government if need want every weapon can get one can just as easily say rifle larger than needed kill human right when human wearing armor riding apc things get bit different don see where weapon problem not only manner use contention here guess either don alarm clock never heard terms timer martyr either don forget,正面,2025-03-29 11:26:00,189,27,56
497,talk.politics.mideast,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\talk.politics.mideast\75944,"In article <1993Apr18.051439.5942@urartu.sdpa.org> hla@urartu.sdpa.org writes: Let's face it, if the words don't get into your noggin in the first place, there's no hope. Now tell us, 'SDPA.ORG', a mouthpiece of the fascist x-Soviet Armenian Government: what was your role in the murder of Orhan Gunduz and Kemal Arikan? How many more Muslims will be slaughtered by 'SDPA.ORG' as publicly declared and filed with the legal authorities? ""...that more people have to die..."" SDPA <91@urartu.UUCP> ""Yes,",article apr urartu sdpa org hla urartu sdpa org writes let face if words don get into noggin first place there hope now tell sdpa org mouthpiece fascist soviet armenian government what role murder orhan gunduz kemal arikan how many more muslims slaughtered sdpa org as publicly declared filed legal authorities ... more people die ... sdpa urartu uucp stated stand sdpa urartu uucp january los angeles kemal arikan slaughtered two armenians while driving work march cambridge massachusetts prelude grisly murder gift import shop belonging orhan gunduz blown up gunduz receives ultimatum either gives up honorary position executed refuses responsibility claimed jcag sdpa cambridge massachusetts orhan gunduz turkish honorary consul boston not bow armenian terrorist ultimatum give up title honorary consul now attacked murdered cold blood president reagan orders all out manhunt avail eye witness who gave description murderer shot down survives ... falls silent one most revolting triumphs senseless mindless history armenian terrorism such murder brings absolutely nothing except ego boost,负面,2025-03-21 22:41:00,174,276,80
222,rec.motorcycles,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\rec.motorcycles\104898,"Steve Bunis SE Southwest Chicago (doc@webrider.central.sun.com) wrote: : I was posting to Alt.locksmithing about the best methods for securing : a motorcycle. I got several responses referring to the Cobra Lock : (described below). Has anyone come across a store carrying this lock : in the Chicago area? : : Any other feedback from someone who has used this? What about the new Yamaha ""Cyclelok"" ? From the photo in Motorcyclist, it looks the same hardened steel as a Kryptonite U lock, except it fo",steve bunis se southwest chicago doc webrider central sun com wrote posting alt locksmithing about best methods securing motorcycle got several responses referring cobra lock described below anyone come across store carrying lock chicago area other feedback from someone who used what about new yamaha cyclelok from photo motorcyclist looks same hardened steel as kryptonite lock except folds five places seems extend out far enough lock rear tire tube parking sign similar anyone experience how easy attack lock jointed sections tony,中性,2025-03-13 13:16:00,361,172,69
218,rec.autos,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\rec.autos\103379,"In article 21071@sernews.raleigh.ibm.com, mperry@vnet.ibm.com (Mark Perry) writes: While previous Volvos have been essentially very fast tractors, the 3,4 and 8 series are far from 'agricultural' in design or execution (how many FWD tractors have you seen?). You state this like it is a bad thing. :^) (remember, car companies use ad agencies - they don't do their own ads!) Is this true? I know that they had done joint ventures with Renault, but I haven't heard about their subsumption into Renault",article sernews raleigh ibm com mperry vnet ibm com mark perry writes while previous volvos essentially very fast tractors series far from agricultural design execution how many fwd tractors seen state like bad thing remember car companies use ad agencies don own ads true know done joint ventures renault haven heard about subsumption into renault mean french government now owns volvo anyway renault makes very nice cars just don sell em america here here roland rhorwell atc boeing com,正面,2025-03-18 10:08:00,20,69,76
359,misc.forsale,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\misc.forsale\76824,"I have a certificate for one round-trip airfares to either Orlando, Las Vegas and Reno/Lake Tahoe. Expiration date is one year from now. The maximum retail value, depending on time and location, is estimated at $2000 for all three locations, including accommodation for 3 days and 2 nights at a leading hotel. I am asking for $1800 or best offer. Purchase of tickets for a single location is possible. For more information, call Goh at (415) 497-0663 or send mail to kmgoh@leland.stanford.edu -- ****",certificate one round trip airfares either orlando las vegas reno lake tahoe expiration date one year from now maximum retail value depending time location estimated all three locations including accommodation days nights leading hotel am asking best offer purchase tickets single location possible more information call goh send mail kmgoh leland stanford edu goh kwang meng arroyo wilbur box stanford ca,中性,2025-03-22 10:57:00,467,192,55
371,talk.religion.misc,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\talk.religion.misc\84253,"In article <watson.735759766@mariner.sce.carleton.ca>, watson@sce.carleton.ca (Stephen Watson) writes: Thank you, Steve. It is refreshing to have someone accuse me of being a Christian. I only hope enough evidence can be garnered to get a conviction. I am not certain what you mean by the ""fundy"" part as the term fundamentalist has a wide variety of uses. If you refer to those who actually believe Jesus is the Messiah and Son of God and wish to follow in his way, then I plead guilty. But what doe",article watson mariner sce carleton ca watson sce carleton ca stephen watson writes thank steve refreshing someone accuse me christian only hope enough evidence can garnered get conviction am not certain what mean fundy part as term fundamentalist wide variety uses if refer who actually believe jesus messiah son god wish follow way then plead guilty what matter what think roman circus over lions satisfied now emperor after long gruelling struggle sensed crowd tiring gave thumbs down respect previous comments about david koresh urge re examine previous posts believe mistakenly assume defense koresh right own personal beliefs right express others implies agreement koresh theology actually understand little about details branch davidian teachings regret many hung up aspect tragic events past few days nor think koresh sex life interest federal government course hillary says molesting infants true even though such allegations not fall under jurisdiction federal government state local matters thoroughly reviewed local level proper authorities su,中性,2025-03-25 13:15:00,114,52,62
59,comp.windows.x,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\comp.windows.x\68202,"I understood that there are two methods to connect application code to widgets: callbacks and actions The problem I face now is that I have a quite long piece of application code that performs a lot of drawing into a window. I want to connect this to a widget. No problem so far. I could use a callback function or an action to do this, processing any events afterwards. But because the drawing takes some while, I want the application code sequence to be able to be interrupted by events. Then I wan",understood there two methods connect application code widgets callbacks actions problem face now quite long piece application code performs lot drawing into window want connect widget problem far use callback function action processing events afterwards because drawing takes while want application code sequence able interrupted events then want handle events resume processing application code point interrupted seems me isn possible how can give user impression inputs immediately processed anybody idea please answer via mail thanks advance soenke soenke voss faculty economics soenke wiwi uni bielefeld de university bielefeld bielefeld germany only difference between me madman am not mad salvador dali,负面,2025-03-05 23:07:00,140,336,39
